Locality_ID,Cluster,Latitude,Longitude,Mean annual temperature,Total annual precipitation,Temperature range,Disturbance,Hemisphere,Continent,Pitfall days,Transect length,Species richness,PIE
Andersen&Hoffmann_2003_01,20,-22.54,148.32,21.9,615,25.4,Undisturbed,South,Oceania,450,40,75,0.8266163401
Andersen&Hoffmann_2003_02,20,-22.54,148.32,21.9,615,25.4,Disturbed,South,Oceania,300,40,55,0.3558785338
Andersen&Hoffmann_2003_03,20,-22.54,148.32,21.9,615,25.4,Disturbed,South,Oceania,300,40,50,0.7103116167
Andersen&Hoffmann_2003_04,20,-22.54,148.32,21.9,615,25.4,Disturbed,South,Oceania,300,40,38,0.6393776698
Andersen&Hoffmann_2003_05,20,-22.54,148.32,21.9,615,25.4,Disturbed,South,Oceania,300,40,46,0.5262844732
Andersen&Hoffmann_2003_06,20,-22.54,148.32,21.9,615,25.4,Undisturbed,South,Oceania,450,40,87,0.2350024646
Andersen&Hoffmann_2003_07,20,-22.54,148.32,21.9,615,25.4,Undisturbed,South,Oceania,450,40,112,0.6203261013
Andersen&Hoffmann_2003_08,20,-22.54,148.32,21.9,615,25.4,Disturbed,South,Oceania,450,40,55,0.8958511399
Andersen&Hoffmann_2003_09,20,-22.54,148.32,21.9,615,25.4,Disturbed,South,Oceania,450,40,40,0.6334227674
Andersen&Hoffmann_2011_01,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,32,0.8224248687
Andersen&Hoffmann_2011_02,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,39,0.8688130782
Andersen&Hoffmann_2011_03,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,35,0.8375051069
Andersen&Hoffmann_2011_04,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,46,0.8953529851
Andersen&Hoffmann_2011_05,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,35,0.8406866146
Andersen&Hoffmann_2011_06,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,33,0.9354512383
Andersen&Hoffmann_2011_07,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,41,0.8717220033
Andersen&Hoffmann_2011_08,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,43,0.847847537
Andersen&Hoffmann_2011_09,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,43,0.8782549453
